No,DPO equation,BG,IP,EA,smiles
F6.23,2 - a + b + d + b*df,3.417,5.456,2.039,s1ccc2c1ccc1c2c2c(cc1)c1c(cc2)cc2ccccc2c1
F6.24,2 - a + b + df + df*(1-a),3.31,5.383,2.073,c1(ccccc1cc2cc3)cc2c(ccc4c5)c3c4cc6c5scc6
F6.25,3 - 3*a + b + df,2.85,5.205,2.355,c1(ccccc1cc2cc3cc4)cc2cc3c(cc5)c4c6c5scc6
F6.26,2 - a + b + d + cf,3.328,5.434,2.106,c1(ccccc1cc2cc3)cc2c4c3c5ccccc5c6c4scc6
F6.27,2 - a + b + df + c,3.367,5.424,2.057,s1ccc2c1c1ccccc1c1c2ccc2cc3c(cccc3)cc12
F6.28,2 - a + b + c + df*c,3.209,5.322,2.113,s1ccc2cc3c(cc12)c1c(ccc2cc4ccccc4cc12)cc3
F6.29,2 - a + b + c + b*df,3.421,5.451,2.029,s1ccc2c3ccc4c(c3ccc12)c1cc2c(cccc2)cc1cc4
F6.30,3 - 3*a + bf + b,2.948,5.257,2.308,c12cc3cc4ccccc4cc3cc1c5c(c6c2cccc6)scc5
F6.31,3 - 3*a + b + cf,2.846,5.209,2.363,c12cc3cc4ccccc4cc3cc1ccc5c2c6sccc6cc5
F6.32,3 - 3*a + b + b*df,2.934,5.24,2.306,c12cc3cc4ccccc4cc3cc1ccc5c2cc6sccc6c5
T4.1,2 - a + bf + -af,3.959,5.597,1.638,c1(cc2sccc2cc1cc3)c4c3scc4
T4.2,3 - 3*a + -af,3.45,5.322,1.872,c1(cc2sccc2cc1c3)cc4c3scc4
T5.1,2 - a + 2*bf,3.554,5.493,1.938,c1(c(ccc2c1ccs2)cc3cc4)cc3c5c4scc5
T5.2,2 - a + -af + b + b*df,4.035,5.636,1.601,c1(c(ccc2c1cc3c(c2)scc3)c4)cc5c4ccs5
T5.3,2 - a + -af + b + cf,3.908,5.627,1.719,c1(c(ccc2c1c3c(cc2)scc3)c4)cc5c4ccs5
T5.4,2 - a + -af + b + df,3.94,5.634,1.694,c1(c(ccc2c1ccc3c2scc3)c4)cc5c4ccs5
T5.5,3 - 3*a + -af + bf,3.132,5.252,2.12,c1(cc2sccc2cc1cc3cc4)cc3c5c4scc5
T5.6,4 - 6*a + -af,2.745,5.035,2.29,c1(cc2sccc2cc1cc3c4)cc3cc5c4scc5
T5.7,2 - a + -af + b + bf,4.044,5.661,1.617,s1ccc2cc3c(cc12)c1c(scc1)c1c3cccc1
T6.1,5 - 10*a + -af,2.216,4.817,2.601,c1(c2)cc3cc4cc(ccs5)c5cc4cc3cc1cc6c2scc6
T6.2,4 - 6*a + -af + bf,2.508,4.987,2.479,s1ccc2cc3cc4c(cc3cc12)cc1c2c(scc2)ccc1c4
T6.3,3 - 3*a + -af + b + b*df,3.279,5.334,2.055,c1(cc2cc3sccc3cc2cc1cc4)c5c4cc6sccc6c5
T6.4,3 - 3*a + -af + b + df,3.171,5.305,2.134,c1(cc2cc3sccc3cc2cc1cc4)c5c4c6sccc6cc5
T6.5,2 - a + -af + b + df + df*(1-a),3.55,5.43,1.88,s1ccc2cc3c(cc12)c1c(cc3)c2cc3c(ccs3)cc2cc1
T6.6,2 - a + -af + 2*b + b*df,4.11,5.74,1.63,s1ccc2cc3c(cc12)c1c(cccc1)c1cc2c(ccs2)cc31
T6.7,3 - 3*a + -af + bf + b,3.281,5.35,2.069,c1(cc2cc3sccc3cc2cc1c4c5scc4)c6c5cccc6
T6.8,3 - 3*a + -af + b + cf,3.161,5.293,2.132,c1(cc2cc3sccc3cc2cc1cc4)c5c4ccc6c5scc6
T6.9,2 - a + -af + b + c + c*df,3.466,5.397,1.931,s1ccc2cc3c(ccc4c3c3cc5c(ccs5)cc3cc4)cc12
T6.10,2 - a + b + df + cf,3.504,5.493,1.989,c12cc3ccccc3cc1ccc(c4c5scc4)c2c6c5scc6
T6.11,2 - a + -af + b + c + b*df,3.678,5.53,1.853,s1ccc2c1cc1c(ccc3c1c1c(cc3)c3c(ccs3)cc1)c2
T6.12,2 - a + -af + b + df + c,3.677,5.517,1.84,c1(c(ccc2c1c3ccccc3c4sccc24)c5)cc6c5ccs6
T6.13,2 - a + -af + bf + b + d,3.663,5.518,1.854,s1ccc2c1cc1c3c(scc3)c3c(ccc4c3cccc4)c1c2
T6.14,2 - a + -af + b + b + df,3.961,5.667,1.706,s1ccc2cc3c4ccccc4c4c5c(ccs5)ccc4c3cc12
T6.15,2 - a + -af + b + d + b*df,3.813,5.577,1.764,c1(cc2sccc2cc1cc3)c4c3c5ccc6sccc6c5cc4
T6.16,2 - a + -af + bf + b + c,3.643,5.503,1.86,s1ccc2cc3c4ccsc4c4ccc5c(cccc5)c4c3cc12
T6.17,2 - a + -af + b + b + cf,3.966,5.662,1.696,s1ccc2cc3c4ccccc4c4ccc5c(ccs5)c4c3cc12
T6.18,2 - a + -af + b + cf + d,3.704,5.526,1.822,c1(cc2sccc2cc1cc3)c4c3c5ccccc5c6sccc46
T6.19,2 - a + -af + b + d + b*df,3.719,5.546,1.827,c1(cc2sccc2cc1cc3)c(cc4)c3c(c4cc5)c6c5scc6
T6.20,3 - 3*a + 2*bf,2.844,5.178,2.334,c(cc1c2c3scc2)(c(cc1cc3)cc4cc5)cc4c6c5scc6
T6.21,2 - a + bf + b + cf,3.563,5.517,1.955,s1ccc2c1ccc1cc3c(cc21)c1c(ccc2c1ccs2)cc3
T6.22,2 - a + bf + b + df,3.596,5.526,1.93,c1(c(ccc2c1ccc3sccc23)cc4cc5)cc4c6c5scc6
P7.1,5-10*a+b,1.902,4.747,2.845,c1(ccccc1cc2cc3cc4cc5cc6)cc2cc3cc4cc5c7c6cccc7
P7.2,4-6*a+b+d*b,2.399,4.992,2.593,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5cc7ccccc7c6
P7.3,4-6*a+b+d,2.247,4.916,2.669,c1(ccccc1cc2cc3cc4cc5)cc2cc3cc4c6c5c7ccccc7cc6
P7.4,3-3*a+b+d+d*(1-a),2.635,5.098,2.463,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6cc7ccccc7cc6cc5
P7.5,4-6*a+2*b,2.485,5.034,2.549,c1(c(ccc2c1cccc2)cc3cc4cc5cc6)cc3cc4cc5c7c6cccc7
P7.6,3-3*a+b+d*b+d*d,2.924,5.242,2.318,c1(ccccc1cc2cc3cc4)cc2cc3c5c4cc6c7ccccc7ccc6c5
P7.7,3-3*a+b+d+d*b,2.792,5.164,2.372,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6c7ccccc7ccc6cc5
P7.8,3-3*a+2*b+d*b,3.169,5.368,2.199,c1(ccccc1ccc2cc3cc4cc5)c2cc3cc4c6c5cc7ccccc7c6
P7.9,3-3*a+b+d+c,2.689,5.1,2.411,c1(ccccc1cc2cc3cc4)cc2cc3c5c4c6ccccc6c7ccccc57
P7.10,2-a+b+d*b+d*d+(1-a)*d*d,3.346,5.433,2.087,c1(ccccc1cc2cc3)cc2c4c3cc5c6ccccc6ccc5c4
P7.11,2-a+b+d+d*b+d*d*b,3.466,5.528,2.062,c1(ccccc1cc2cc3)cc2c4c3c5ccc6cc7ccccc7cc6c5cc4
P7.12,3-3*a+2*b+d,2.9410000000000003,5.251,2.31,c1(c(ccc2c1cccc2)cc3cc4cc5)cc3cc4c6c5c7ccccc7cc6
P7.13,2-a+2*b+d+d*(1-a),3.212,5.37,2.158,c1(ccccc1cc2c3ccc4cc5cc6)cc2ccc3c4cc5c7c6cccc7
